incomeperperson,alcconsumption,armedforcesrate,breastcancerper100th,co2emissions,femaleemployrate,hivrate,internetuserate,lifeexpectancy,polityscore,relectricperperson,suicideper100th,employrate,urbanrate,oilperperson,country,countrycode
8740.96607625943,0.03,0.5696534,26.8,75944000.0,25.6000003814697,1.9354421768707486,3.65412162280064,49.62449999999998,0.0,1173.1789948671906,6.68438529968262,55.7000007629394,24.04,1.4840851636765646,Afghanistan,AFG
1914.99655094922,7.29,1.0247361,57.4,223747333.333333,42.0999984741211,1.9354421768707486,44.9899469578783,76.918,9.0,636.341383366604,7.69932985305786,51.4000015258789,46.72,1.4840851636765646,Albania,ALB
2231.99333515006,0.69,2.306817,23.5,2932108666.66667,31.7000007629394,0.1,12.5000733055148,73.131,2.0,590.509814347428,4.8487696647644,50.5,65.22,0.42009452521537,Algeria,DZA
20423.174299407267,10.17,1.444016280487805,37.402890173410405,5033261621.666663,47.54943806401799,1.9354421768707486,81.0,69.75352356020942,3.68944099378882,1173.1789948671906,5.36217880249023,58.63595508189684,88.92,1.4840851636765646,Andorra,AND
1381.00426770244,5.57,1.4613288,23.1,248358000.0,69.4000015258789,2.0,9.99995388324075,51.093,-2.0,172.999227388199,14.5546770095825,75.6999969482422,56.7,1.4840851636765646,Angola,AGO
11894.4640745081,8.17,1.444016280487805,37.402890173410405,16225000.0,47.54943806401799,1.9354421768707486,80.6454545454545,69.75352356020942,3.68944099378882,1173.1789948671906,2.16184329986572,58.63595508189684,30.46,1.4840851636765646,Antigua and Barbuda,ATG
10749.4192379463,9.35,0.560987,73.9,5872119000.0,45.9000015258789,0.5,36.0003349500148,75.901,8.0,768.428299701347,7.765584,58.4000015258789,92.0,0.635943800978195,Argentina,ARG
1326.74175718861,13.66,2.6184384,51.6,51219666.6666667,34.2000007629394,0.1,44.0010245795602,74.241,5.0,603.763057563433,3.74158787727356,40.0999984741211,63.86,1.4840851636765646,Armenia,ARM
8740.96607625943,6.689411764705882,1.444016280487805,37.402890173410405,35871000.0,47.54943806401799,1.9354421768707486,41.8008888888889,75.246,3.68944099378882,1173.1789948671906,9.640839010528843,58.63595508189684,46.78,1.4840851636765646,Aruba,ABW
20423.174299407267,10.21,0.4862799,76.1,5997869166.666675,54.5999984741211,0.1,75.8956537961344,81.907,10.0,2285.5094189148476,8.4700301251191,61.5,88.74,1.91302610912404,Australia,AUS
20423.174299407267,12.4,0.8155798,70.5,4466084333.33333,49.7000007629394,0.3,72.7315755423123,80.854,10.0,2068.12330899163,13.09437,57.0999984741211,67.16,1.54879096611674,Austria,AUT
2344.89691619809,13.34,1.9767462,31.5,511107666.666667,56.2000007629394,0.1,46.6797015683676,70.739,-7.0,921.562110759901,1.38096463680267,60.9000015258789,51.92,0.35917260997566,Azerbaijan,AZE
19630.5405471267,8.65,0.5452863,54.4,137555000.0,60.7000007629394,3.1,42.9845801749271,75.62,3.68944099378882,1173.1789948671906,3.3744158744812,66.5999984741211,83.7,1.4840851636765646,Bahamas,BHS
12505.2125447354,4.19,2.7555606012195124,40.2,503994333.333333,30.2000007629394,1.9354421768707486,54.9928090332805,75.057,-7.0,2285.5094189148476,4.41499042510986,60.4000015258789,88.52,1.4840851636765646,Bahrain,BHR
558.062876627297,0.17,0.2878915,16.6,598774000.0,53.5999984741211,0.06,3.70000325975843,68.944,5.0,68.1152285841314,14.5383567810059,68.0999984741211,27.14,0.03228146619272,Bangladesh,BGD
9243.58705259742,6.42,0.6639555,62.5,36160666.6666667,60.2999992370606,1.4,70.028599270073,76.835,3.68944099378882,1173.1789948671906,3.10860252380371,66.9000015258789,39.84,1.4840851636765646,Barbados,BRB
